"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM971957","CMS4",0.702089421459797,0.718893723296719,0.73991928680777,0.621415829298245,0.001,0.00128054298642534
"GSM971958","CMS4",0.703421928643406,0.693412345341772,0.751304499399989,0.433625628268727,0.001,0.00128054298642534
"GSM971959","CMS1",0.665248606756161,0.763249367389318,0.681258892826594,0.838968981083377,0.013986013986014,0.0163218225073895
"GSM971960","CMS2",0.778204643658552,0.616890824658397,0.647137124582919,0.822270875510179,0.001,0.00128054298642534
"GSM971961","CMS4",0.713320245837645,0.703999177002528,0.745927301729879,0.47503723503562,0.001,0.00128054298642534
"GSM971962","CMS4",0.671357715154086,0.785710943640959,0.726379252586425,0.413556292711411,0.001,0.00128054298642534
"GSM971963","CMS1",0.57302878935668,0.791332894782276,0.746762357935039,0.626993656562448,0.001,0.00128054298642534
"GSM971964","CMS2",0.778684105403001,0.667467340473344,0.673351406661842,0.797955940100947,0.001,0.00128054298642534
"GSM971965","CMS3",0.781908005806669,0.649545139009314,0.564016586491557,0.628777149759226,0.001,0.00128054298642534
"GSM971966","CMS4",0.656871548147327,0.710155488603765,0.755378435469412,0.598748005135005,0.001,0.00128054298642534
"GSM971967","CMS3",0.703823991858482,0.797797108001205,0.560114687637492,0.825699255983123,0.001,0.00128054298642534
"GSM971968","CMS4",0.647851234302088,0.788717041894017,0.704025811920847,0.540510703428001,0.001,0.00128054298642534
"GSM971969","CMS1",0.621908844277939,0.754963540218193,0.711427588635912,0.754895325633748,0.001,0.00128054298642534
"GSM971970","CMS3",0.696400462477112,0.79745664338384,0.613917564563276,0.813373310120326,0.001,0.00128054298642534
"GSM971971","CMS3",0.619271295382771,0.756304195987195,0.596084418234174,0.769029751027052,0.001,0.00128054298642534
"GSM971972","CMS4",0.711687821610221,0.681378743718008,0.660654682021367,0.638404001523537,0.001998001998002,0.00245307837498727
"GSM971973","CMS1",0.620258955163675,0.777226530424609,0.741018613591615,0.700942580576307,0.001,0.00128054298642534
"GSM971974","CMS3",0.705783652933597,0.750931018288361,0.521134876451437,0.698437408024159,0.001,0.00128054298642534
"GSM971975","CMS2",0.755068238255596,0.600983117316639,0.712411131883669,0.784755173169682,0.001,0.00128054298642534
